Date,Open,High,Low,Close,Adj Close,Volume
3/24/2015,44.330002,44.5,43.709999,43.709999,41.729897,14913400
3/25/2015,43.68,43.75,42.93,42.93,40.985233,17491000
3/26/2015,42.779999,43.23,42.459999,42.990002,41.042519,14065600
3/27/2015,42.93,43.119999,42.419998,42.639999,40.708359,17982800
3/30/2015,43.23,43.630001,43.119999,43.439999,41.472126,12730100
3/31/2015,43.310001,43.57,43.130001,43.150002,41.195263,13264200
4/1/2015,42.990002,43.119999,42.720001,42.939999,40.994778,12032700
4/2/2015,42.990002,43.110001,42.48,42.619999,40.831905,11183900
4/6/2015,42.279999,43.099998,42.209999,42.959999,41.15765,9766500
4/7/2015,42.990002,43.48,42.939999,42.959999,41.15765,8075400
4/8/2015,42.849998,43.34,42.849998,43.110001,41.301353,6947100
4/9/2015,42.970001,43.310001,42.740002,43.200001,41.387573,9399500
4/10/2015,43.080002,43.889999,43.080002,43.509998,41.684574,12542800
4/13/2015,43.549999,43.790001,43.029999,43.080002,41.272617,10943400
4/14/2015,43.040001,43.060001,42.509998,42.73,40.937302,10468100
4/15/2015,42.950001,44.189999,42.830002,43.990002,42.144436,18188700
4/16/2015,43.689999,43.959999,43.25,43.459999,41.636665,11960800
4/17/2015,43.060001,43.400002,42.860001,43,41.195965,12473500
4/20/2015,43.310001,43.810001,43.25,43.32,41.502544,10426300
4/21/2015,43.509998,43.869999,43.400002,43.419998,41.598339,9312900
4/22/2015,43.509998,43.75,43.34,43.549999,41.722893,7343900
4/23/2015,43.509998,43.630001,42.990002,43.389999,41.569607,11311000
4/24/2015,43.41,43.580002,42.75,43.080002,41.272617,17767100
4/27/2015,43.099998,43.950001,43.07,43.610001,41.780376,12916000
4/28/2015,43.709999,44.580002,43.450001,44.5,42.633034,18287700
4/29/2015,44.400002,44.900002,43.68,44.73,42.853386,36608700
4/30/2015,44.049999,44.41,43.509998,43.619999,41.789955,20196300
5/1/2015,43.439999,44.380001,43.439999,44.369999,42.508492,11942000
5/4/2015,44.549999,44.849998,44.240002,44.59,42.719257,9168200
5/5/2015,44.470001,44.619999,43.889999,43.919998,42.077366,11410200
5/6/2015,44.200001,44.240002,43,43.259998,41.445057,12732100
5/7/2015,43.169998,43.66,43.02,43.48,41.655834,8787100
5/8/2015,43.830002,44.240002,43.689999,44.009998,42.163593,9582900
5/11/2015,43.970001,44.200001,43.599998,43.84,42.000729,7429400
5/12/2015,43.650002,43.689999,43.279999,43.57,41.742054,8515100
5/13/2015,43.759998,44.07,43.619999,43.790001,41.952824,7451200
5/14/2015,44.110001,44.400002,44,44.380001,42.51807,7293000
5/15/2015,44.41,44.439999,43.939999,44.150002,42.297714,9369500
5/18/2015,43.939999,44.41,43.880001,44.240002,42.383949,6043100
5/19/2015,44.419998,44.459999,44.16,44.32,42.460587,8640000
5/20/2015,44.220001,44.599998,44.09,44.290001,42.431847,9055700
5/21/2015,44.220001,44.450001,43.950001,44.279999,42.422264,8036400
5/22/2015,44.200001,44.27,43.880001,43.93,42.086952,7484300
5/26/2015,43.740002,43.830002,43.150002,43.330002,41.512123,10440400
5/27/2015,43.540001,44.25,43.41,44.139999,42.288139,11096800
5/28/2015,44.080002,44.25,43.639999,43.860001,42.01989,7273200
5/29/2015,43.790001,43.84,43.360001,43.490002,41.665417,10235300
6/1/2015,43.84,44.060001,43.639999,43.790001,41.952824,9764300
6/2/2015,43.509998,44.009998,43.139999,43.700001,41.866604,8222300
6/3/2015,43.740002,44.09,43.59,43.970001,42.125271,9220900
6/4/2015,43.740002,44.110001,43.509998,43.77,41.933659,13783100
6/5/2015,43.830002,44.02,43.490002,43.810001,41.971981,12850700
6/8/2015,43.810001,43.889999,43.080002,43.099998,41.291779,9109500
6/9/2015,43.349998,43.369999,42.82,43.07,41.263035,7634200
6/10/2015,43.279999,44.049999,43.060001,43.939999,42.096523,15518400
6/11/2015,44.169998,44.419998,44.029999,44.279999,42.422264,12519300
6/12/2015,43.98,44.389999,43.900002,44.34,42.479755,11742300
6/15/2015,43.900002,43.990002,43.41,43.720001,41.885761,16727800
6/16/2015,43.91,44.880001,43.759998,44.639999,42.76717,18271600
6/17/2015,44.860001,45.240002,44.369999,44.91,43.025837,27080800
6/18/2015,41.91,42.98,40.970001,42.740002,40.94688,79138400
6/19/2015,42.900002,43.099998,41.560001,41.59,39.845119,37430200
6/22/2015,41.799999,41.959999,41.450001,41.490002,39.749321,22368300
6/23/2015,41.939999,42.060001,41.48,41.709999,39.960083,17394300
6/24/2015,41.540001,41.77,41.200001,41.200001,39.471489,17768200
