Date,DJI,SPC,President,Party
1/1/1920,1331.07,,Warren G. Harding,Republican
2/1/1920,1152.70,,Warren G. Harding,Republican
3/1/1920,1286.56,,Warren G. Harding,Republican
4/1/1920,1135.95,,Warren G. Harding,Republican
5/1/1920,1098.69,,Warren G. Harding,Republican
6/1/1920,1070.51,,Warren G. Harding,Republican
7/1/1920,1029.35,,Warren G. Harding,Republican
8/1/1920,1046.33,,Warren G. Harding,Republican
9/1/1920,1022.44,,Warren G. Harding,Republican
10/1/1920,1053.97,,Warren G. Harding,Republican
11/1/1920,946.77,,Warren G. Harding,Republican
12/1/1920,914.27,,Warren G. Harding,Republican
1/1/1921,987.79,,Warren G. Harding,Republican
2/1/1921,1004.58,,Warren G. Harding,Republican
3/1/1921,1020.56,,Warren G. Harding,Republican
4/1/1921,1070.12,,Warren G. Harding,Republican
5/1/1921,1022.87,,Warren G. Harding,Republican
6/1/1921,958.78,,Warren G. Harding,Republican
7/1/1921,952.26,,Warren G. Harding,Republican
8/1/1921,934.71,,Warren G. Harding,Republican
9/1/1921,1001.30,,Warren G. Harding,Republican
10/1/1921,1031.31,,Warren G. Harding,Republican
11/1/1921,1095.19,,Warren G. Harding,Republican
12/1/1921,1151.40,,Warren G. Harding,Republican
1/1/1922,1185.92,,Warren G. Harding,Republican
2/1/1922,1246.61,,Warren G. Harding,Republican
3/1/1922,1314.56,,Warren G. Harding,Republican
4/1/1922,1357.07,,Warren G. Harding,Republican
5/1/1922,1417.59,,Warren G. Harding,Republican
6/1/1922,1371.83,,Warren G. Harding,Republican
7/1/1922,1424.11,,Warren G. Harding,Republican
8/1/1922,1496.68,,Warren G. Harding,Republican
9/1/1922,1442.33,,Warren G. Harding,Republican
10/1/1922,1418.78,,Warren G. Harding,Republican
11/1/1922,1388.89,,Warren G. Harding,Republican
12/1/1922,1432.01,,Warren G. Harding,Republican
1/1/1923,1429.69,,Calvin Coolidge,Republican
2/1/1923,1524.63,,Calvin Coolidge,Republican
3/1/1923,1508.05,,Calvin Coolidge,Republican
4/1/1923,1435.07,,Calvin Coolidge,Republican
5/1/1923,1422.67,,Calvin Coolidge,Republican
6/1/1923,1281.89,,Calvin Coolidge,Republican
7/1/1923,1245.68,,Calvin Coolidge,Republican
8/1/1923,1347.41,,Calvin Coolidge,Republican
9/1/1923,1260.87,,Calvin Coolidge,Republican
10/1/1923,1261.55,,Calvin Coolidge,Republican
11/1/1923,1315.85,,Calvin Coolidge,Republican
12/1/1923,1361.16,,Calvin Coolidge,Republican
1/1/1924,1434.41,,Calvin Coolidge,Republican
2/1/1924,1400.19,,Calvin Coolidge,Republican
3/1/1924,1330.40,,Calvin Coolidge,Republican
4/1/1924,1314.23,,Calvin Coolidge,Republican
5/1/1924,1303.64,,Calvin Coolidge,Republican
6/1/1924,1397.46,,Calvin Coolidge,Republican
7/1/1924,1472.55,,Calvin Coolidge,Republican
8/1/1924,1510.13,,Calvin Coolidge,Republican
9/1/1924,1487.26,,Calvin Coolidge,Republican
10/1/1924,1491.49,,Calvin Coolidge,Republican
11/1/1924,1592.40,,Calvin Coolidge,Republican
12/1/1924,1717.27,,Calvin Coolidge,Republican
1/1/1925,1759.73,,Calvin Coolidge,Republican
2/1/1925,1752.07,,Calvin Coolidge,Republican
3/1/1925,1663.69,,Calvin Coolidge,Republican
4/1/1925,1720.10,,Calvin Coolidge,Republican
5/1/1925,1851.79,,Calvin Coolidge,Republican
6/1/1925,1845.54,,Calvin Coolidge,Republican
7/1/1925,1863.71,,Calvin Coolidge,Republican
8/1/1925,1966.36,,Calvin Coolidge,Republican
9/1/1925,1998.11,,Calvin Coolidge,Republican
10/1/1925,2167.89,,Calvin Coolidge,Republican
11/1/1925,2069.19,,Calvin Coolidge,Republican
12/1/1925,2080.67,,Calvin Coolidge,Republican
1/1/1926,2167.02,,Calvin Coolidge,Republican
2/1/1926,2130.25,,Calvin Coolidge,Republican
3/1/1926,1945.37,,Calvin Coolidge,Republican
4/1/1926,1979.17,,Calvin Coolidge,Republican
5/1/1926,1986.51,,Calvin Coolidge,Republican
6/1/1926,2131.54,,Calvin Coolidge,Republican
7/1/1926,2256.46,,Calvin Coolidge,Republican
8/1/1926,2302.44,,Calvin Coolidge,Republican
9/1/1926,2228.42,,Calvin Coolidge,Republican
10/1/1926,2111.70,,Calvin Coolidge,Republican
11/1/1926,2180.43,,Calvin Coolidge,Republican
12/1/1926,2189.48,,Calvin Coolidge,Republican
1/1/1927,2203.35,,Calvin Coolidge,Republican
2/1/1927,2294.65,,Calvin Coolidge,Republican
3/1/1927,2281.14,,Calvin Coolidge,Republican
4/1/1927,2346.12,,Calvin Coolidge,Republican
5/1/1927,2450.50,,Calvin Coolidge,Republican
6/1/1927,2328.38,,Calvin Coolidge,Republican
7/1/1927,2584.95,,Calvin Coolidge,Republican
8/1/1927,2720.26,,Calvin Coolidge,Republican
9/1/1927,2815.66,,Calvin Coolidge,Republican
10/1/1927,2574.75,,Calvin Coolidge,Republican
11/1/1927,2824.49,,Calvin Coolidge,Republican
12/1/1927,2859.98,251.66,Calvin Coolidge,Republican
1/1/1928,2829.91,250.37,Calvin Coolidge,Republican
2/1/1928,2808.14,248.84,Calvin Coolidge,Republican
3/1/1928,3091.73,277.96,Calvin Coolidge,Republican
4/1/1928,3051.07,284.74,Calvin Coolidge,Republican
5/1/1928,3150.54,286.66,Calvin Coolidge,Republican
6/1/1928,3032.90,275.94,Calvin Coolidge,Republican
7/1/1928,3114.07,280.12,Calvin Coolidge,Republican
8/1/1928,3465.99,300.88,Calvin Coolidge,Republican
9/1/1928,3382.67,301.25,Calvin Coolidge,Republican
10/1/1928,3614.21,310.74,Calvin Coolidge,Republican
11/1/1928,4205.02,348.01,Calvin Coolidge,Republican
12/1/1928,4325.10,351.05,Calvin Coolidge,Republican
1/1/1929,4577.54,371.09,Herbert Hoover,Republican
2/1/1929,4576.10,368.93,Herbert Hoover,Republican
3/1/1929,4478.63,370.21,Herbert Hoover,Republican
4/1/1929,4657.48,378.39,Herbert Hoover,Republican
5/1/1929,4312.74,360.06,Herbert Hoover,Republican
6/1/1929,4812.25,395.17,Herbert Hoover,Republican
7/1/1929,4954.73,411.54,Herbert Hoover,Republican
8/1/1929,5419.70,451.87,Herbert Hoover,Republican
9/1/1929,4894.16,429.78,Herbert Hoover,Republican
10/1/1929,3897.52,344.14,Herbert Hoover,Republican
11/1/1929,3405.04,298.11,Herbert Hoover,Republican
12/1/1929,3561.46,307.44,Herbert Hoover,Republican
1/1/1930,3851.36,328.56,Herbert Hoover,Republican
2/1/1930,3931.37,337.58,Herbert Hoover,Republican
3/1/1930,4173.34,352.28,Herbert Hoover,Republican
4/1/1930,4049.11,361.07,Herbert Hoover,Republican
5/1/1930,4012.45,357.24,Herbert Hoover,Republican
6/1/1930,3321.31,300.23,Herbert Hoover,Republican
7/1/1930,3474.99,314.99,Herbert Hoover,Republican
8/1/1930,3592.12,319.29,Herbert Hoover,Republican
9/1/1930,3042.97,276.08,Herbert Hoover,Republican
10/1/1930,2739.43,253.10,Herbert Hoover,Republican
11/1/1930,2756.72,249.08,Herbert Hoover,Republican
12/1/1930,2520.05,234.89,Herbert Hoover,Republican
1/1/1931,2597.86,249.48,Herbert Hoover,Republican
2/1/1931,2978.04,281.54,Herbert Hoover,Republican
3/1/1931,2723.81,263.75,Herbert Hoover,Republican
4/1/1931,2404.68,240.01,Herbert Hoover,Republican
5/1/1931,2069.88,209.79,Herbert Hoover,Republican
6/1/1931,2451.84,242.11,Herbert Hoover,Republican
7/1/1931,2210.38,224.16,Herbert Hoover,Republican
8/1/1931,2276.01,226.28,Herbert Hoover,Republican
9/1/1931,1587.79,159.58,Herbert Hoover,Republican
10/1/1931,1744.34,174.22,Herbert Hoover,Republican
11/1/1931,1574.20,159.32,Herbert Hoover,Republican
12/1/1931,1315.34,137.11,Herbert Hoover,Republican
1/1/1932,1313.44,136.02,Herbert Hoover,Republican
2/1/1932,1423.90,144.94,Herbert Hoover,Republican
3/1/1932,1290.39,128.72,Herbert Hoover,Republican
4/1/1932,995.17,103.40,Herbert Hoover,Republican
5/1/1932,805.05,80.43,Herbert Hoover,Republican
6/1/1932,776.56,80.30,Herbert Hoover,Republican
7/1/1932,983.57,110.57,Herbert Hoover,Republican
8/1/1932,1335.97,153.21,Herbert Hoover,Republican
9/1/1932,1316.49,148.65,Herbert Hoover,Republican
10/1/1932,1147.38,129.01,Herbert Hoover,Republican
11/1/1932,1052.39,122.33,Herbert Hoover,Republican
12/1/1932,1127.82,129.66,Herbert Hoover,Republican
1/1/1933,1163.80,132.62,Franklin D. Roosevelt,Democratic
2/1/1933,997.53,109.87,Franklin D. Roosevelt,Democratic
3/1/1933,1083.90,114.46,Franklin D. Roosevelt,Democratic
4/1/1933,1519.42,162.78,Franklin D. Roosevelt,Democratic
5/1/1933,1723.87,188.61,Franklin D. Roosevelt,Democratic
6/1/1933,1905.00,211.77,Franklin D. Roosevelt,Democratic
7/1/1933,1708.20,187.25,Franklin D. Roosevelt,Democratic
8/1/1933,1912.61,207.12,Franklin D. Roosevelt,Democratic
9/1/1933,1770.86,183.59,Franklin D. Roosevelt,Democratic
10/1/1933,1646.48,167.34,Franklin D. Roosevelt,Democratic
11/1/1933,1832.86,184.52,Franklin D. Roosevelt,Democratic
12/1/1933,1865.73,188.63,Franklin D. Roosevelt,Democratic
1/1/1934,2002.44,208.61,Franklin D. Roosevelt,Democratic
2/1/1934,1917.73,199.45,Franklin D. Roosevelt,Democratic
3/1/1934,1887.89,199.26,Franklin D. Roosevelt,Democratic
4/1/1934,1862.68,193.89,Franklin D. Roosevelt,Democratic
5/1/1934,1742.38,178.13,Franklin D. Roosevelt,Democratic
6/1/1934,1760.96,180.47,Franklin D. Roosevelt,Democratic
7/1/1934,1619.86,159.69,Franklin D. Roosevelt,Democratic
8/1/1934,1708.35,168.33,Franklin D. Roosevelt,Democratic
9/1/1934,1679.10,164.96,Franklin D. Roosevelt,Democratic
10/1/1934,1704.85,160.88,Franklin D. Roosevelt,Democratic
11/1/1934,1879.79,174.21,Franklin D. Roosevelt,Democratic
12/1/1934,1914.02,174.77,Franklin D. Roosevelt,Democratic
1/1/1935,1843.33,164.96,Franklin D. Roosevelt,Democratic
2/1/1935,1842.23,157.27,Franklin D. Roosevelt,Democratic
3/1/1935,1813.98,152.41,Franklin D. Roosevelt,Democratic
4/1/1935,1955.21,165.78,Franklin D. Roosevelt,Democratic
5/1/1935,1976.47,171.14,Franklin D. Roosevelt,Democratic
6/1/1935,2127.07,184.08,Franklin D. Roosevelt,Democratic
7/1/1935,2271.38,199.37,Franklin D. Roosevelt,Democratic
8/1/1935,2301.25,203.69,Franklin D. Roosevelt,Democratic
9/1/1935,2373.77,208.55,Franklin D. Roosevelt,Democratic
10/1/1935,2514.48,224.21,Franklin D. Roosevelt,Democratic
11/1/1935,2542.94,231.34,Franklin D. Roosevelt,Democratic
12/1/1935,2574.74,239.91,Franklin D. Roosevelt,Democratic
1/1/1936,2670.49,255.63,Franklin D. Roosevelt,Democratic
2/1/1936,2718.01,259.92,Franklin D. Roosevelt,Democratic
3/1/1936,2813.18,268.47,Franklin D. Roosevelt,Democratic
4/1/1936,2621.19,247.78,Franklin D. Roosevelt,Democratic
5/1/1936,2746.60,259.11,Franklin D. Roosevelt,Democratic
6/1/1936,2816.97,265.10,Franklin D. Roosevelt,Democratic
7/1/1936,2923.96,281.12,Franklin D. Roosevelt,Democratic
8/1/1936,2928.20,281.57,Franklin D. Roosevelt,Democratic
9/1/1936,2955.14,281.92,Franklin D. Roosevelt,Democratic
10/1/1936,3120.14,303.05,Franklin D. Roosevelt,Democratic
11/1/1936,3226.32,304.28,Franklin D. Roosevelt,Democratic
12/1/1936,3167.86,302.52,Franklin D. Roosevelt,Democratic
1/1/1937,3247.48,311.74,Franklin D. Roosevelt,Democratic
2/1/1937,3274.75,316.29,Franklin D. Roosevelt,Democratic
3/1/1937,3236.26,311.11,Franklin D. Roosevelt,Democratic
4/1/1937,3004.24,283.24,Franklin D. Roosevelt,Democratic
