date,index_value
01/01/1915,1380.03
02/01/1915,1356.35
03/01/1915,1514.73
04/01/1915,1769.52
05/01/1915,1586.76
06/01/1915,1710.02
07/01/1915,1843.54
08/01/1915,1981.93
09/01/1915,2210.88
10/01/1915,2304.27
11/01/1915,2314.66
12/01/1915,2373.06
01/01/1916,2147.11
02/01/1916,2157.78
03/01/1916,2189.32
04/01/1916,2084.99
05/01/1916,2115.07
06/01/1916,2044.75
07/01/1916,2037.22
08/01/1916,2086.42
09/01/1916,2303.74
10/01/1916,2282.17
11/01/1916,2271.68
12/01/1916,2018.94
01/01/1917,2010.71
02/01/1917,1881.01
03/01/1917,1987.02
04/01/1917,1824.04
05/01/1917,1875.54
06/01/1917,1808.69
07/01/1917,1767.11
08/01/1917,1581.51
09/01/1917,1547.01
10/01/1917,1360.44
11/01/1917,1326.66
12/01/1917,1338.39
01/01/1918,1405.2
02/01/1918,1405.54
03/01/1918,1345.5
04/01/1918,1345.65
05/01/1918,1327.52
06/01/1918,1384.87
07/01/1918,1326.16
08/01/1918,1320.02
09/01/1918,1329.65
10/01/1918,1317.54
11/01/1918,1223.99
12/01/1918,1228.15
01/01/1919,1204.39
02/01/1919,1290.64
03/01/1919,1335.59
04/01/1919,1371.09
05/01/1919,1538.93
06/01/1919,1560.52
07/01/1919,1518.24
08/01/1919,1458.96
09/01/1919,1543.17
10/01/1919,1619.69
11/01/1919,1382.17
12/01/1919,1398.71
01/01/1920,1331.07
02/01/1920,1152.7
03/01/1920,1286.56
04/01/1920,1135.95
05/01/1920,1098.69
06/01/1920,1070.51
07/01/1920,1029.35
08/01/1920,1046.33
09/01/1920,1022.44
10/01/1920,1053.97
11/01/1920,946.77
12/01/1920,914.27
01/01/1921,987.79
02/01/1921,1004.58
03/01/1921,1020.56
04/01/1921,1070.12
05/01/1921,1022.87
06/01/1921,958.78
07/01/1921,952.26
08/01/1921,934.71
09/01/1921,1001.3
10/01/1921,1031.31
11/01/1921,1095.19
12/01/1921,1151.4
01/01/1922,1185.92
02/01/1922,1246.61
03/01/1922,1314.56
04/01/1922,1357.07
05/01/1922,1417.59
06/01/1922,1371.83
07/01/1922,1424.11
08/01/1922,1496.68
09/01/1922,1442.33
10/01/1922,1418.78
11/01/1922,1388.89
12/01/1922,1432.01
01/01/1923,1429.69
02/01/1923,1524.63
03/01/1923,1508.05
04/01/1923,1435.07
05/01/1923,1422.67
06/01/1923,1281.89
07/01/1923,1245.68
08/01/1923,1347.41
09/01/1923,1260.87
10/01/1923,1261.55
11/01/1923,1315.85
12/01/1923,1361.16
01/01/1924,1434.41
02/01/1924,1400.19
03/01/1924,1330.4
04/01/1924,1314.23
05/01/1924,1303.64
06/01/1924,1397.46
07/01/1924,1472.55
08/01/1924,1510.13
09/01/1924,1487.26
10/01/1924,1491.49
11/01/1924,1592.4
12/01/1924,1717.27
01/01/1925,1759.73
02/01/1925,1752.07
03/01/1925,1663.69
04/01/1925,1720.1
05/01/1925,1851.79
06/01/1925,1845.54
07/01/1925,1863.71
08/01/1925,1966.36
09/01/1925,1998.11
10/01/1925,2167.89
11/01/1925,2069.19
12/01/1925,2080.67
01/01/1926,2167.02
02/01/1926,2130.25
03/01/1926,1945.37
04/01/1926,1979.17
05/01/1926,1986.51
06/01/1926,2131.54
07/01/1926,2256.46
08/01/1926,2302.44
09/01/1926,2228.42
10/01/1926,2111.7
11/01/1926,2180.43
12/01/1926,2189.48
01/01/1927,2203.35
02/01/1927,2294.65
03/01/1927,2281.14
04/01/1927,2346.12
05/01/1927,2450.5
06/01/1927,2328.38
07/01/1927,2584.95
08/01/1927,2720.26
09/01/1927,2815.66
10/01/1927,2574.75
11/01/1927,2824.49
12/01/1927,2859.98
01/01/1928,2829.91
02/01/1928,2808.14
03/01/1928,3091.73
04/01/1928,3051.07
05/01/1928,3150.54
06/01/1928,3032.9
07/01/1928,3114.07
08/01/1928,3465.99
09/01/1928,3382.67
10/01/1928,3614.21
11/01/1928,4205.02
12/01/1928,4325.1
01/01/1929,4577.54
02/01/1929,4576.1
03/01/1929,4478.63
04/01/1929,4657.48
05/01/1929,4312.74
06/01/1929,4812.25
07/01/1929,4954.73
08/01/1929,5419.7
09/01/1929,4894.16
10/01/1929,3897.52
11/01/1929,3405.04
12/01/1929,3561.46
01/01/1930,3851.36
02/01/1930,3931.37
03/01/1930,4173.34
04/01/1930,4049.11
05/01/1930,4012.45
06/01/1930,3321.31
07/01/1930,3474.99
08/01/1930,3592.12
09/01/1930,3042.97
10/01/1930,2739.43
11/01/1930,2756.72
12/01/1930,2520.05
01/01/1931,2597.86
02/01/1931,2978.04
03/01/1931,2723.81
04/01/1931,2404.68
05/01/1931,2069.88
06/01/1931,2451.84
07/01/1931,2210.38
08/01/1931,2276.01
09/01/1931,1587.79
10/01/1931,1744.34
11/01/1931,1574.2
12/01/1931,1315.34
01/01/1932,1313.44
02/01/1932,1423.9
03/01/1932,1290.39
04/01/1932,995.17
05/01/1932,805.05
06/01/1932,776.56
07/01/1932,983.57
08/01/1932,1335.97
09/01/1932,1316.49
10/01/1932,1147.38
11/01/1932,1052.39
12/01/1932,1127.82
01/01/1933,1163.8
02/01/1933,997.53
03/01/1933,1083.9
04/01/1933,1519.42
05/01/1933,1723.87
06/01/1933,1905
07/01/1933,1708.2
08/01/1933,1912.61
09/01/1933,1770.86
10/01/1933,1646.48
11/01/1933,1832.86
12/01/1933,1865.73
01/01/1934,2002.44
02/01/1934,1917.73
03/01/1934,1887.89
04/01/1934,1862.68
05/01/1934,1742.38
06/01/1934,1760.96
07/01/1934,1619.86
08/01/1934,1708.35
09/01/1934,1679.1
10/01/1934,1704.85
11/01/1934,1879.79
12/01/1934,1914.02
01/01/1935,1843.33
02/01/1935,1842.23
03/01/1935,1813.98
04/01/1935,1955.21
05/01/1935,1976.47
06/01/1935,2127.07
07/01/1935,2271.38
08/01/1935,2301.25
09/01/1935,2373.77
10/01/1935,2514.48
11/01/1935,2542.94
12/01/1935,2574.74
01/01/1936,2670.49
02/01/1936,2718.01
03/01/1936,2813.18
04/01/1936,2621.19
05/01/1936,2746.6
06/01/1936,2816.97
07/01/1936,2923.96
08/01/1936,2928.2
09/01/1936,2955.14
10/01/1936,3120.14
11/01/1936,3226.32
12/01/1936,3167.86
01/01/1937,3247.48
02/01/1937,3274.75
03/01/1937,3236.26
04/01/1937,3004.24
05/01/1937,2991.04
06/01/1937,2898.76
07/01/1937,3155.74
08/01/1937,3016.32
09/01/1937,2609.91
10/01/1937,2333
11/01/1937,2099.41
12/01/1937,2068.95
01/01/1938,2115.79
02/01/1938,2266.63
03/01/1938,1730.04
04/01/1938,1931.93
05/01/1938,1883.73
06/01/1938,2340.76
07/01/1938,2469.62
08/01/1938,2435
09/01/1938,2473.11
10/01/1938,2671.81
11/01/1938,2638.18
12/01/1938,2725.17
01/01/1939,2531.47
02/01/1939,2612.51
03/01/1939,2338.31
04/01/1939,2294.63
05/01/1939,2468.45
06/01/1939,2333.57
07/01/1939,2559.2
08/01/1939,2401.1
09/01/1939,2667.01
10/01/1939,2674.45
11/01/1939,2565.46
12/01/1939,2645.58
01/01/1940,2577.57
02/01/1940,2580.42
03/01/1940,2605.25
04/01/1940,2613.7
05/01/1940,2046.52
06/01/1940,2130.78
07/01/1940,2221.2
08/01/1940,2278.96
09/01/1940,2335.66
10/01/1940,2370.35
11/01/1940,2306.78
12/01/1940,2292.68
01/01/1941,2170.29
02/01/1941,2132.52
03/01/1941,2130.54
04/01/1941,1991.79
05/01/1941,1981.81
06/01/1941,2065.06
07/01/1941,2159.81
08/01/1941,2112.8
09/01/1941,2070.46
10/01/1941,1898.43
11/01/1941,1828.59
12/01/1941,1764.82
01/01/1942,1713.25
02/01/1942,1666.24
03/01/1942,1533.56
04/01/1942,1460
05/01/1942,1525.71
06/01/1942,1562.91
07/01/1942,1589.18
08/01/1942,1588.68
09/01/1942,1630.21
10/01/1942,1683.9
11/01/1942,1680.17
12/01/1942,1741.69
01/01/1943,1831.84
02/01/1943,1897.91
03/01/1943,1957.46
04/01/1943,1919.48
05/01/1943,2001.2
06/01/1943,2019.79
07/01/1943,1926.14
08/01/1943,1946.84
09/01/1943,1985.22
10/01/1943,1959.01
11/01/1943,1835.75
12/01/1943,1925.29
01/01/1944,1946.68
02/01/1944,1931.1
03/01/1944,1967.09
04/01/1944,1919.07
05/01/1944,2003.73
06/01/1944,2078.36
07/01/1944,2035.02
08/01/1944,2047.28
09/01/1944,2043.66
10/01/1944,2040.87
11/01/1944,2052.01
12/01/1944,2109.63
01/01/1945,2128.33
02/01/1945,2221.54
03/01/1945,2138.58
04/01/1945,2291.34
05/01/1945,2317.83
06/01/1945,2251.25
07/01/1945,2218.43
08/01/1945,2373.83
09/01/1945,2474.89
10/01/1945,2541.49
11/01/1945,2607.69
12/01/1945,2612.97
01/01/1946,2772.26
02/01/1946,2589.03
03/01/1946,2690.83
04/01/1946,2770.3
05/01/1946,2828.84
06/01/1946,2710.69
07/01/1946,2509.62
08/01/1946,2308.87
09/01/1946,2083.7
10/01/1946,2004.77
11/01/1946,1965.27
12/01/1946,2031.78
01/01/1947,2068.93
02/01/1947,2051.27
03/01/1947,1994.74
04/01/1947,1920.89
05/01/1947,1905.25
06/01/1947,1986.82
07/01/1947,2034.21
08/01/1947,1959.66
09/01/1947,1902.34
10/01/1947,1948.64
11/01/1947,1914.56
12/01/1947,1908.52
01/01/1948,1820.87
02/01/1948,1754.98
03/01/1948,1866.8
04/01/1948,1869.72
05/01/1948,1967.48
06/01/1948,1937.99
07/01/1948,1831.98
08/01/1948,1828.37
09/01/1948,1794.05
10/01/1948,1905.63
11/01/1948,1744.01
12/01/1948,1813.6
01/01/1949,1839.92
02/01/1949,1792.56
03/01/1949,1834.4
04/01/1949,1796.46
05/01/1949,1743.87
06/01/1949,1726.94
07/01/1949,1829.92
08/01/1949,1850.56
09/01/1949,1882.59
10/01/1949,1971.6
11/01/1949,1984.07
12/01/1949,2090.56
01/01/1950,2116.78
02/01/1950,2134.09
03/01/1950,2152.4
04/01/1950,2238.89
05/01/1950,2324.01
06/01/1950,2165.96
07/01/1950,2141.95
08/01/1950,2200.15
09/01/1950,2286.92
10/01/1950,2254.83
11/01/1950,2271.68
12/01/1950,2321.38
01/01/1951,2415.14
02/01/1951,2417.66
03/01/1951,2369.07
04/01/1951,2475.99
05/01/1951,2376.17
06/01/1951,2309.45
07/01/1951,2454.31
08/01/1951,2572.24
09/01/1951,2561.11
10/01/1951,2468.45
11/01/1951,2439.74
12/01/1951,2504.65
01/01/1952,2518.23
02/01/1952,2437.99
03/01/1952,2525.92
04/01/1952,2405.75
05/01/1952,2455.33
06/01/1952,2551.44
07/01/1952,2581.18
08/01/1952,2539.44
09/01/1952,2498.54
10/01/1952,2485.8
11/01/1952,2619.03
12/01/1952,2695.11
01/01/1953,2685.59
02/01/1953,2644.56
03/01/1953,2593.84
04/01/1953,2546.38
05/01/1953,2513.96
06/01/1953,2467.72
07/01/1953,2533.22
08/01/1953,2393.82
09/01/1953,2419.66
10/01/1953,2518.42
11/01/1953,2578.47
12/01/1953,2574.17
01/01/1954,2679.46
02/01/1954,2699.16
03/01/1954,2781.37
04/01/1954,2937.52
05/01/1954,3001.12
06/01/1954,3056.47
07/01/1954,3188.34
08/01/1954,3077.27
09/01/1954,3315.87
10/01/1954,3239.34
11/01/1954,3557.9
12/01/1954,3733.73
01/01/1955,3774.73
02/01/1955,3802.8
03/01/1955,3782.76
04/01/1955,3930.03
05/01/1955,3922.73
06/01/1955,4167.59
07/01/1955,4285.35
08/01/1955,4306.79
09/01/1955,4276.11
10/01/1955,4168.43
11/01/1955,4428.59
12/01/1955,4492.79
01/01/1956,4330.34
02/01/1956,4449.1
03/01/1956,4707.96
04/01/1956,4729.72
05/01/1956,4365.07
06/01/1956,4466.07
07/01/1956,4658.74
08/01/1956,4533.42
09/01/1956,4275.82
10/01/1956,4301.86
11/01/1956,4238.47
12/01/1956,4461.27
01/01/1957,4279.86
02/01/1957,4135.12
03/01/1957,4210.62
04/01/1957,4368.16
05/01/1957,4445.4
06/01/1957,4415.36
07/01/1957,4429.72
08/01/1957,4219.17
09/01/1957,3974.83
10/01/1957,3841.9
11/01/1957,3904.87
12/01/1957,3781.79
01/01/1958,3879.17
02/01/1958,3792.11
03/01/1958,3824.27
04/01/1958,3888.49
05/01/1958,3946.83
06/01/1958,4078.88
07/01/1958,4275.92
08/01/1958,4338.61
09/01/1958,4538.73
10/01/1958,4633.67
11/01/1958,4738.97
12/01/1958,4978.53
01/01/1959,5049.25
02/01/1959,5147.86
03/01/1959,5132.59
04/01/1959,5302.5
05/01/1959,5472.86
06/01/1959,5452.58
07/01/1959,5698.01
08/01/1959,5609.61
09/01/1959,5314.96
10/01/1959,5421.74
11/01/1959,5527.22
12/01/1959,5696.43
01/01/1960,5238.72
02/01/1960,5283.56
03/01/1960,5170.11
04/01/1960,5028.41
05/01/1960,5227.3
06/01/1960,5335.72
07/01/1960,5136.74
08/01/1960,5213.87
09/01/1960,4831.99
10/01/1960,4801.32
11/01/1960,4940.8
12/01/1960,5095.26
01/01/1961,5362.56
02/01/1961,5477.39
03/01/1961,5597.76
04/01/1961,5614.97
05/01/1961,5763.96
06/01/1961,5658.4
07/01/1961,5796.03
08/01/1961,5935.91
09/01/1961,5761.84
10/01/1961,5784.11
11/01/1961,5929.39
12/01/1961,6007.78
01/01/1962,5751.9
02/01/1962,5798.93
03/01/1962,5789.92
04/01/1962,5431.09
05/01/1962,5006.86
06/01/1962,4581.73
07/01/1962,4864.76
08/01/1962,4956.29
09/01/1962,4694.95
10/01/1962,4782.44
11/01/1962,5265.17
12/01/1962,5287.88
01/01/1963,5537.23
02/01/1963,5375.78
03/01/1963,5516.81
04/01/1963,5801.17
05/01/1963,5876.02
06/01/1963,5694.63
07/01/1963,5584.3
08/01/1963,5856.44
09/01/1963,5884.3
10/01/1963,6044.86
11/01/1963,6007.16
12/01/1963,6086.82
01/01/1964,6265.44
02/01/1964,6383.52
03/01/1964,6488.43
04/01/1964,6468.32
05/01/1964,6546.43
06/01/1964,6612.09
07/01/1964,6667.4
08/01/1964,6667.59
09/01/1964,6939.06
10/01/1964,6920.91
11/01/1964,6916.77
12/01/1964,6906.5
01/01/1965,7133.5
02/01/1965,7138.4
03/01/1965,7002.16
04/01/1965,7241.06
05/01/1965,7207.53
06/01/1965,6771.5
07/01/1965,6878.45
08/01/1965,6967.07
09/01/1965,7259.45
10/01/1965,7472.3
11/01/1965,7362.56
12/01/1965,7513.7
01/01/1966,7624.17
02/01/1966,7333.36
03/01/1966,7102.23
04/01/1966,7125.85
05/01/1966,6747.22
06/01/1966,6620.59
07/01/1966,6427.38
08/01/1966,5943.82
09/01/1966,5836.84
10/01/1966,6047.38
11/01/1966,5931.38
12/01/1966,5887.18
01/01/1967,6368.23
02/01/1967,6289.4
03/01/1967,6468.87
04/01/1967,6681.23
05/01/1967,6330.26
06/01/1967,6368.5
07/01/1967,6674.2
08/01/1967,6632.59
09/01/1967,6798.9
10/01/1967,6435.3
11/01/1967,6388.16
12/01/1967,6581.96
01/01/1968,6184.19
02/01/1968,6058.32
03/01/1968,6041.9
04/01/1968,6536.97
05/01/1968,6424.25
06/01/1968,6377.97
07/01/1968,6237.51
08/01/1968,6311.49
09/01/1968,6572.05
10/01/1968,6651.49
11/01/1968,6860.1
12/01/1968,6553.4
01/01/1969,6551.4
02/01/1969,6233.28
03/01/1969,6388.39
04/01/1969,6452.67
05/01/1969,6350.09
06/01/1969,5881.81
07/01/1969,5462.83
08/01/1969,5575.07
09/01/1969,5402.98
10/01/1969,5657.24
11/01/1969,5340.06
12/01/1969,5233.55
01/01/1970,4852.76
02/01/1970,5044.23
03/01/1970,5070.07
04/01/1970,4713.06
05/01/1970,4473.71
06/01/1970,4343.15
07/01/1970,4640.37
08/01/1970,4832.91
09/01/1970,4783.92
10/01/1970,4727.85
11/01/1970,4943.21
12/01/1970,5196.27
01/01/1971,5379.49
02/01/1971,5430.29
03/01/1971,5573.63
04/01/1971,5789.88
05/01/1971,5553.07
06/01/1971,5411
07/01/1971,5199.51
08/01/1971,5426.14
09/01/1971,5360.4
10/01/1971,5056.65
11/01/1971,5010.49
12/01/1971,5339.42
01/01/1972,5411.22
02/01/1972,5540.01
03/01/1972,5601.87
04/01/1972,5667.77
05/01/1972,5693.23
06/01/1972,5492.43
07/01/1972,5441.17
08/01/1972,5657.1
09/01/1972,5582.35
10/01/1972,5568.77
11/01/1972,5919.87
12/01/1972,5917.14
01/01/1973,5781.33
02/01/1973,5487.83
03/01/1973,5414.1
04/01/1973,5209.77
05/01/1973,5062.32
06/01/1973,4973.07
07/01/1973,5155.42
08/01/1973,4851.46
09/01/1973,5165.48
10/01/1973,5171.27
11/01/1973,4416.3
12/01/1973,4540.19
01/01/1974,4525.86
02/01/1974,4494.55
03/01/1974,4366.33
04/01/1974,4297.55
05/01/1974,4069.41
06/01/1974,4036.92
07/01/1974,3779.58
08/01/1974,3345.4
09/01/1974,2961.54
10/01/1974,3210.47
11/01/1974,2961.53
12/01/1974,2927.14
01/01/1975,3329.86
02/01/1975,3470.58
03/01/1975,3593.41
04/01/1975,3827.44
05/01/1975,3856.83
06/01/1975,4042.48
07/01/1975,3781.71
08/01/1975,3792.44
09/01/1975,3584.37
10/01/1975,3753.82
11/01/1975,3836.87
12/01/1975,3786.41
01/01/1976,4324.39
02/01/1976,4296.99
03/01/1976,4407.57
04/01/1976,4380.16
05/01/1976,4254.93
06/01/1976,4352.07
07/01/1976,4250.69
08/01/1976,4182.21
09/01/1976,4238.01
10/01/1976,4108.67
11/01/1976,4025.69
12/01/1976,4255.7
01/01/1977,4021.72
02/01/1977,3905.81
03/01/1977,3807.96
04/01/1977,3808.63
05/01/1977,3673.72
06/01/1977,3721.09
07/01/1977,3596.77
08/01/1977,3470.08
09/01/1977,3401.15
10/01/1977,3275.04
11/01/1977,3304.7
12/01/1977,3299.74
01/01/1978,3036.56
02/01/1978,2908.37
03/01/1978,2944.62
04/01/1978,3230.38
05/01/1978,3212.81
06/01/1978,3096.45
07/01/1978,3235.24
08/01/1978,3274.92
09/01/1978,3209.59
10/01/1978,2911.46
11/01/1978,2922.85
12/01/1978,2931.04
01/01/1979,3028.74
02/01/1979,2885.87
03/01/1979,3045.22
04/01/1979,2985.31
05/01/1979,2835.39
06/01/1979,2871.15
07/01/1979,2854.13
08/01/1979,2964.68
09/01/1979,2903.71
10/01/1979,2673.86
11/01/1979,2670.99
12/01/1979,2695.71
01/01/1980,2775.57
02/01/1980,2697.31
03/01/1980,2418.54
04/01/1980,2487.13
05/01/1980,2564.46
06/01/1980,2587.27
07/01/1980,2788.19
08/01/1980,2759.53
09/01/1980,2736.65
10/01/1980,2687.49
