date,DJI,date,index_value
1/1/1920,1331.07,,
2/1/1920,1152.7,,
3/1/1920,1286.56,,
4/1/1920,1135.95,,
5/1/1920,1098.69,,
6/1/1920,1070.51,,
7/1/1920,1029.35,,
8/1/1920,1046.33,,
9/1/1920,1022.44,,
10/1/1920,1053.97,,
11/1/1920,946.77,,
12/1/1920,914.27,,
1/1/1921,987.79,,
2/1/1921,1004.58,,
3/1/1921,1020.56,,
4/1/1921,1070.12,,
5/1/1921,1022.87,,
6/1/1921,958.78,,
7/1/1921,952.26,,
8/1/1921,934.71,,
9/1/1921,1001.3,,
10/1/1921,1031.31,,
11/1/1921,1095.19,,
12/1/1921,1151.4,,
1/1/1922,1185.92,,
2/1/1922,1246.61,,
3/1/1922,1314.56,,
4/1/1922,1357.07,,
5/1/1922,1417.59,,
6/1/1922,1371.83,,
7/1/1922,1424.11,,
8/1/1922,1496.68,,
9/1/1922,1442.33,,
10/1/1922,1418.78,,
11/1/1922,1388.89,,
12/1/1922,1432.01,,
1/1/1923,1429.69,,
2/1/1923,1524.63,,
3/1/1923,1508.05,,
4/1/1923,1435.07,,
5/1/1923,1422.67,,
6/1/1923,1281.89,,
7/1/1923,1245.68,,
8/1/1923,1347.41,,
9/1/1923,1260.87,,
10/1/1923,1261.55,,
11/1/1923,1315.85,,
12/1/1923,1361.16,,
1/1/1924,1434.41,,
2/1/1924,1400.19,,
3/1/1924,1330.4,,
4/1/1924,1314.23,,
5/1/1924,1303.64,,
6/1/1924,1397.46,,
7/1/1924,1472.55,,
8/1/1924,1510.13,,
9/1/1924,1487.26,,
10/1/1924,1491.49,,
11/1/1924,1592.4,,
12/1/1924,1717.27,,
1/1/1925,1759.73,,
2/1/1925,1752.07,,
3/1/1925,1663.69,,
4/1/1925,1720.1,,
5/1/1925,1851.79,,
6/1/1925,1845.54,,
7/1/1925,1863.71,,
8/1/1925,1966.36,,
9/1/1925,1998.11,,
10/1/1925,2167.89,,
11/1/1925,2069.19,,
12/1/1925,2080.67,,
1/1/1926,2167.02,,
2/1/1926,2130.25,,
3/1/1926,1945.37,,
4/1/1926,1979.17,,
5/1/1926,1986.51,,
6/1/1926,2131.54,,
7/1/1926,2256.46,,
8/1/1926,2302.44,,
9/1/1926,2228.42,,
10/1/1926,2111.7,,
11/1/1926,2180.43,,
12/1/1926,2189.48,,
1/1/1927,2203.35,,
2/1/1927,2294.65,,
3/1/1927,2281.14,,
4/1/1927,2346.12,,
5/1/1927,2450.5,,
6/1/1927,2328.38,,
7/1/1927,2584.95,,
8/1/1927,2720.26,,
9/1/1927,2815.66,,
10/1/1927,2574.75,,
11/1/1927,2824.49,,
12/1/1927,2859.98,12/1/1927,251.66
1/1/1928,2829.91,1/1/1928,250.37
2/1/1928,2808.14,2/1/1928,248.84
3/1/1928,3091.73,3/1/1928,277.96
4/1/1928,3051.07,4/1/1928,284.74
5/1/1928,3150.54,5/1/1928,286.66
6/1/1928,3032.9,6/1/1928,275.94
7/1/1928,3114.07,7/1/1928,280.12
8/1/1928,3465.99,8/1/1928,300.88
9/1/1928,3382.67,9/1/1928,301.25
10/1/1928,3614.21,10/1/1928,310.74
11/1/1928,4205.02,11/1/1928,348.01
12/1/1928,4325.1,12/1/1928,351.05
1/1/1929,4577.54,1/1/1929,371.09
2/1/1929,4576.1,2/1/1929,368.93
3/1/1929,4478.63,3/1/1929,370.21
4/1/1929,4657.48,4/1/1929,378.39
5/1/1929,4312.74,5/1/1929,360.06
6/1/1929,4812.25,6/1/1929,395.17
7/1/1929,4954.73,7/1/1929,411.54
8/1/1929,5419.7,8/1/1929,451.87
9/1/1929,4894.16,9/1/1929,429.78
10/1/1929,3897.52,10/1/1929,344.14
11/1/1929,3405.04,11/1/1929,298.11
12/1/1929,3561.46,12/1/1929,307.44
1/1/1930,3851.36,1/1/1930,328.56
2/1/1930,3931.37,2/1/1930,337.58
3/1/1930,4173.34,3/1/1930,352.28
4/1/1930,4049.11,4/1/1930,361.07
5/1/1930,4012.45,5/1/1930,357.24
6/1/1930,3321.31,6/1/1930,300.23
7/1/1930,3474.99,7/1/1930,314.99
8/1/1930,3592.12,8/1/1930,319.29
9/1/1930,3042.97,9/1/1930,276.08
10/1/1930,2739.43,10/1/1930,253.1
11/1/1930,2756.72,11/1/1930,249.08
12/1/1930,2520.05,12/1/1930,234.89
1/1/1931,2597.86,1/1/1931,249.48
2/1/1931,2978.04,2/1/1931,281.54
3/1/1931,2723.81,3/1/1931,263.75
4/1/1931,2404.68,4/1/1931,240.01
5/1/1931,2069.88,5/1/1931,209.79
6/1/1931,2451.84,6/1/1931,242.11
7/1/1931,2210.38,7/1/1931,224.16
8/1/1931,2276.01,8/1/1931,226.28
9/1/1931,1587.79,9/1/1931,159.58
10/1/1931,1744.34,10/1/1931,174.22
11/1/1931,1574.2,11/1/1931,159.32
12/1/1931,1315.34,12/1/1931,137.11
1/1/1932,1313.44,1/1/1932,136.02
2/1/1932,1423.9,2/1/1932,144.94
3/1/1932,1290.39,3/1/1932,128.72
4/1/1932,995.17,4/1/1932,103.4
5/1/1932,805.05,5/1/1932,80.43
6/1/1932,776.56,6/1/1932,80.3
7/1/1932,983.57,7/1/1932,110.57
8/1/1932,1335.97,8/1/1932,153.21
9/1/1932,1316.49,9/1/1932,148.65
10/1/1932,1147.38,10/1/1932,129.01
11/1/1932,1052.39,11/1/1932,122.33
12/1/1932,1127.82,12/1/1932,129.66
1/1/1933,1163.8,1/1/1933,132.62
2/1/1933,997.53,2/1/1933,109.87
3/1/1933,1083.9,3/1/1933,114.46
4/1/1933,1519.42,4/1/1933,162.78
5/1/1933,1723.87,5/1/1933,188.61
6/1/1933,1905,6/1/1933,211.77
7/1/1933,1708.2,7/1/1933,187.25
8/1/1933,1912.61,8/1/1933,207.12
9/1/1933,1770.86,9/1/1933,183.59
10/1/1933,1646.48,10/1/1933,167.34
11/1/1933,1832.86,11/1/1933,184.52
12/1/1933,1865.73,12/1/1933,188.63
1/1/1934,2002.44,1/1/1934,208.61
2/1/1934,1917.73,2/1/1934,199.45
3/1/1934,1887.89,3/1/1934,199.26
4/1/1934,1862.68,4/1/1934,193.89
5/1/1934,1742.38,5/1/1934,178.13
6/1/1934,1760.96,6/1/1934,180.47
7/1/1934,1619.86,7/1/1934,159.69
8/1/1934,1708.35,8/1/1934,168.33
9/1/1934,1679.1,9/1/1934,164.96
10/1/1934,1704.85,10/1/1934,160.88
11/1/1934,1879.79,11/1/1934,174.21
12/1/1934,1914.02,12/1/1934,174.77
1/1/1935,1843.33,1/1/1935,164.96
2/1/1935,1842.23,2/1/1935,157.27
3/1/1935,1813.98,3/1/1935,152.41
4/1/1935,1955.21,4/1/1935,165.78
5/1/1935,1976.47,5/1/1935,171.14
6/1/1935,2127.07,6/1/1935,184.08
7/1/1935,2271.38,7/1/1935,199.37
8/1/1935,2301.25,8/1/1935,203.69
9/1/1935,2373.77,9/1/1935,208.55
10/1/1935,2514.48,10/1/1935,224.21
11/1/1935,2542.94,11/1/1935,231.34
12/1/1935,2574.74,12/1/1935,239.91
1/1/1936,2670.49,1/1/1936,255.63
2/1/1936,2718.01,2/1/1936,259.92
3/1/1936,2813.18,3/1/1936,268.47
4/1/1936,2621.19,4/1/1936,247.78
5/1/1936,2746.6,5/1/1936,259.11
6/1/1936,2816.97,6/1/1936,265.1
7/1/1936,2923.96,7/1/1936,281.12
8/1/1936,2928.2,8/1/1936,281.57
9/1/1936,2955.14,9/1/1936,281.92
10/1/1936,3120.14,10/1/1936,303.05
11/1/1936,3226.32,11/1/1936,304.28
12/1/1936,3167.86,12/1/1936,302.52
1/1/1937,3247.48,1/1/1937,311.74
2/1/1937,3274.75,2/1/1937,316.29
3/1/1937,3236.26,3/1/1937,311.11
4/1/1937,3004.24,4/1/1937,283.24
5/1/1937,2991.04,5/1/1937,278.37
6/1/1937,2898.76,6/1/1937,263.65
7/1/1937,3155.74,7/1/1937,288.69
8/1/1937,3016.32,8/1/1937,272.71
9/1/1937,2609.91,9/1/1937,232.34
10/1/1937,2333,10/1/1937,208.7
11/1/1937,2099.41,11/1/1937,188.89
12/1/1937,2068.95,12/1/1937,180.62
1/1/1938,2115.79,1/1/1938,185.59
2/1/1938,2266.63,2/1/1938,198.27
3/1/1938,1730.04,3/1/1938,148.61
4/1/1938,1931.93,4/1/1938,168.4
5/1/1938,1883.73,5/1/1938,162.08
6/1/1938,2340.76,6/1/1938,202.12
7/1/1938,2469.62,7/1/1938,216.8
8/1/1938,2435,8/1/1938,210.86
9/1/1938,2473.11,9/1/1938,214
10/1/1938,2671.81,10/1/1938,231.91
11/1/1938,2638.18,11/1/1938,224.16
12/1/1938,2725.17,12/1/1938,232.61
1/1/1939,2531.47,1/1/1939,216.59
2/1/1939,2612.51,2/1/1939,225.25
3/1/1939,2338.31,3/1/1939,194.74
4/1/1939,2294.63,4/1/1939,195.07
5/1/1939,2468.45,5/1/1939,207.22
6/1/1939,2333.57,6/1/1939,194
7/1/1939,2559.2,7/1/1939,215.08
8/1/1939,2401.1,8/1/1939,199.72
9/1/1939,2667.01,9/1/1939,227.64
10/1/1939,2674.45,10/1/1939,225.92
11/1/1939,2565.46,11/1/1939,214.83
12/1/1939,2645.58,12/1/1939,219.94
1/1/1940,2577.57,1/1/1940,213.72
2/1/1940,2580.42,2/1/1940,213.6
3/1/1940,2605.25,3/1/1940,215.71
4/1/1940,2613.7,4/1/1940,214.65
5/1/1940,2046.52,5/1/1940,163.24
6/1/1940,2130.78,6/1/1940,174.49
7/1/1940,2221.2,7/1/1940,181.2
