date,index_value
12/01/1927,251.66
01/01/1928,250.37
02/01/1928,248.84
03/01/1928,277.96
04/01/1928,284.74
05/01/1928,286.66
06/01/1928,275.94
07/01/1928,280.12
08/01/1928,300.88
09/01/1928,301.25
10/01/1928,310.74
11/01/1928,348.01
12/01/1928,351.05
01/01/1929,371.09
02/01/1929,368.93
03/01/1929,370.21
04/01/1929,378.39
05/01/1929,360.06
06/01/1929,395.17
07/01/1929,411.54
08/01/1929,451.87
09/01/1929,429.78
10/01/1929,344.14
11/01/1929,298.11
12/01/1929,307.44
01/01/1930,328.56
02/01/1930,337.58
03/01/1930,352.28
04/01/1930,361.07
05/01/1930,357.24
06/01/1930,300.23
07/01/1930,314.99
08/01/1930,319.29
09/01/1930,276.08
10/01/1930,253.1
11/01/1930,249.08
12/01/1930,234.89
01/01/1931,249.48
02/01/1931,281.54
03/01/1931,263.75
04/01/1931,240.01
05/01/1931,209.79
06/01/1931,242.11
07/01/1931,224.16
08/01/1931,226.28
09/01/1931,159.58
10/01/1931,174.22
11/01/1931,159.32
12/01/1931,137.11
01/01/1932,136.02
02/01/1932,144.94
03/01/1932,128.72
04/01/1932,103.4
05/01/1932,80.43
06/01/1932,80.3
07/01/1932,110.57
08/01/1932,153.21
09/01/1932,148.65
10/01/1932,129.01
11/01/1932,122.33
12/01/1932,129.66
01/01/1933,132.62
02/01/1933,109.87
03/01/1933,114.46
04/01/1933,162.78
05/01/1933,188.61
06/01/1933,211.77
07/01/1933,187.25
08/01/1933,207.12
09/01/1933,183.59
10/01/1933,167.34
11/01/1933,184.52
12/01/1933,188.63
01/01/1934,208.61
02/01/1934,199.45
03/01/1934,199.26
04/01/1934,193.89
05/01/1934,178.13
06/01/1934,180.47
07/01/1934,159.69
08/01/1934,168.33
09/01/1934,164.96
10/01/1934,160.88
11/01/1934,174.21
12/01/1934,174.77
01/01/1935,164.96
02/01/1935,157.27
03/01/1935,152.41
04/01/1935,165.78
05/01/1935,171.14
06/01/1935,184.08
07/01/1935,199.37
08/01/1935,203.69
09/01/1935,208.55
10/01/1935,224.21
11/01/1935,231.34
12/01/1935,239.91
01/01/1936,255.63
02/01/1936,259.92
03/01/1936,268.47
04/01/1936,247.78
05/01/1936,259.11
06/01/1936,265.1
07/01/1936,281.12
08/01/1936,281.57
09/01/1936,281.92
10/01/1936,303.05
11/01/1936,304.28
12/01/1936,302.52
01/01/1937,311.74
02/01/1937,316.29
03/01/1937,311.11
04/01/1937,283.24
05/01/1937,278.37
06/01/1937,263.65
07/01/1937,288.69
08/01/1937,272.71
09/01/1937,232.34
10/01/1937,208.7
11/01/1937,188.89
12/01/1937,180.62
01/01/1938,185.59
02/01/1938,198.27
03/01/1938,148.61
04/01/1938,168.4
05/01/1938,162.08
06/01/1938,202.12
07/01/1938,216.8
08/01/1938,210.86
09/01/1938,214
10/01/1938,231.91
11/01/1938,224.16
12/01/1938,232.61
01/01/1939,216.59
02/01/1939,225.25
03/01/1939,194.74
04/01/1939,195.07
05/01/1939,207.22
06/01/1939,194
07/01/1939,215.08
08/01/1939,199.72
09/01/1939,227.64
10/01/1939,225.92
11/01/1939,214.83
12/01/1939,219.94
01/01/1940,213.72
02/01/1940,213.6
03/01/1940,215.71
04/01/1940,214.65
05/01/1940,163.24
06/01/1940,174.49
07/01/1940,181.2
08/01/1940,185.95
09/01/1940,187.71
10/01/1940,195.11
11/01/1940,186.83
12/01/1940,184.98
01/01/1941,176.06
02/01/1941,173.44
03/01/1941,172.92
04/01/1941,160.5
05/01/1941,160.07
06/01/1941,165.18
07/01/1941,174.24
08/01/1941,170.41
09/01/1941,166.53
10/01/1941,153.07
11/01/1941,145.67
12/01/1941,138.21
01/01/1942,138.33
02/01/1942,134.03
03/01/1942,123.42
04/01/1942,117.29
05/01/1942,123.26
06/01/1942,125.53
07/01/1942,128.67
08/01/1942,128.79
09/01/1942,132.23
10/01/1942,139.06
11/01/1942,136.32
12/01/1942,142.51
01/01/1943,152.73
02/01/1943,160.46
03/01/1943,165.98
04/01/1943,164.21
05/01/1943,170.59
06/01/1943,173.97
07/01/1943,165.48
08/01/1943,168.15
09/01/1943,171.15
10/01/1943,168.88
11/01/1943,156.13
12/01/1943,165.34
01/01/1944,167.89
02/01/1944,167.47
03/01/1944,170.3
04/01/1944,167.21
05/01/1944,173.97
06/01/1944,181.81
07/01/1944,177.02
08/01/1944,178.56
09/01/1944,178
10/01/1944,178
11/01/1944,178.7
12/01/1944,183.93
01/01/1945,186.56
02/01/1945,198.06
03/01/1945,188.91
04/01/1945,205.53
05/01/1945,206.72
06/01/1945,203.76
07/01/1945,199.67
08/01/1945,211.25
09/01/1945,220.1
10/01/1945,226.77
11/01/1945,234.13
12/01/1945,235.14
01/01/1946,251.53
02/01/1946,235.35
03/01/1946,243.56
04/01/1946,251.35
05/01/1946,255.59
06/01/1946,242.96
07/01/1946,223.62
08/01/1946,203.2
09/01/1946,180.79
10/01/1946,175.88
11/01/1946,169.79
12/01/1946,175.43
01/01/1947,179.56
02/01/1947,176.92
03/01/1947,170.77
04/01/1947,164.13
05/01/1947,162.66
06/01/1947,170.44
07/01/1947,175.01
08/01/1947,167.86
09/01/1947,161.95
10/01/1947,165.38
11/01/1947,159.97
12/01/1947,161.19
01/01/1948,152.81
02/01/1948,146.86
03/01/1948,158.87
04/01/1948,160.34
05/01/1948,172.16
06/01/1948,171.23
07/01/1948,160.13
08/01/1948,160.69
09/01/1948,155.86
10/01/1948,167.1
11/01/1948,150.26
12/01/1948,155.48
01/01/1949,156.34
02/01/1949,151.43
03/01/1949,155.99
04/01/1949,152.04
05/01/1949,146.98
06/01/1949,146.06
07/01/1949,156.45
08/01/1949,157.65
09/01/1949,160.71
10/01/1949,166.85
11/01/1949,166.35
12/01/1949,175.07
01/01/1950,178.85
02/01/1950,180.64
03/01/1950,180.61
04/01/1950,188.76
05/01/1950,195.35
06/01/1950,183.23
07/01/1950,182.49
08/01/1950,186.87
09/01/1950,196.5
10/01/1950,195.71
11/01/1950,194.73
12/01/1950,201.26
01/01/1951,210.23
02/01/1951,209.11
03/01/1951,204.48
04/01/1951,214.32
05/01/1951,204.83
06/01/1951,199.5
07/01/1951,213.2
08/01/1951,221.58
09/01/1951,219.69
10/01/1951,215.84
11/01/1951,213.65
12/01/1951,221.13
01/01/1952,224.57
02/01/1952,218.04
03/01/1952,228.44
04/01/1952,217.76
05/01/1952,222.8
06/01/1952,232.2
07/01/1952,234.52
08/01/1952,231.1
09/01/1952,226.58
10/01/1952,226.39
11/01/1952,236.92
12/01/1952,245.32
01/01/1953,244.49
02/01/1953,240.95
03/01/1953,234.39
04/01/1953,228.18
05/01/1953,226.58
06/01/1953,222.06
07/01/1953,227.68
08/01/1953,213.7
09/01/1953,213.98
10/01/1953,224.07
11/01/1953,226.9
12/01/1953,227.36
01/01/1954,239
02/01/1954,239.64
03/01/1954,246.88
04/01/1954,259.96
05/01/1954,267.5
06/01/1954,267.68
07/01/1954,282.98
08/01/1954,273.36
09/01/1954,297.22
10/01/1954,291.42
11/01/1954,314.97
12/01/1954,332.2
01/01/1955,338.2
02/01/1955,339.41
03/01/1955,337.74
04/01/1955,350.48
05/01/1955,350.02
06/01/1955,378.83
07/01/1955,400.34
08/01/1955,397.21
09/01/1955,400.19
10/01/1955,388
11/01/1955,417.05
12/01/1955,418.37
01/01/1956,403.1
02/01/1956,417.08
03/01/1956,445.97
04/01/1956,443.35
05/01/1956,412.72
06/01/1956,425.69
07/01/1956,444.36
08/01/1956,429.02
09/01/1956,408.01
10/01/1956,408.62
11/01/1956,404.14
12/01/1956,416.86
01/01/1957,399.44
02/01/1957,385.01
03/01/1957,391.17
04/01/1957,404.16
05/01/1957,417.57
06/01/1957,415.58
07/01/1957,417.34
08/01/1957,393.91
09/01/1957,369.52
10/01/1957,357.67
11/01/1957,362.13
12/01/1957,347.11
01/01/1958,359.45
02/01/1958,352.04
03/01/1958,360.38
04/01/1958,370.54
05/01/1958,376.09
06/01/1958,385.9
07/01/1958,401.16
08/01/1958,407.31
09/01/1958,427.01
10/01/1958,437.84
11/01/1958,446.13
12/01/1958,470.94
01/01/1959,471.38
02/01/1959,472.65
03/01/1959,472.9
04/01/1959,489.57
05/01/1959,498.84
06/01/1959,495.36
07/01/1959,510.89
08/01/1959,503.2
09/01/1959,478.59
10/01/1959,482.31
11/01/1959,488.68
12/01/1959,502.18
01/01/1960,467.9
02/01/1960,470.57
03/01/1960,464.03
04/01/1960,454.37
05/01/1960,466.57
06/01/1960,474.09
07/01/1960,462.34
08/01/1960,474.42
09/01/1960,445.77
10/01/1960,441.7
11/01/1960,459.48
12/01/1960,480.74
01/01/1961,511.11
02/01/1961,524.84
03/01/1961,538.24
04/01/1961,540.31
05/01/1961,550.65
06/01/1961,534.77
07/01/1961,548.57
08/01/1961,561.24
09/01/1961,548.32
10/01/1961,563.85
11/01/1961,586.04
12/01/1961,587.93
01/01/1962,565.66
02/01/1962,572.97
03/01/1962,569.61
04/01/1962,532.55
05/01/1962,486.76
06/01/1962,446.92
07/01/1962,473.76
08/01/1962,481
09/01/1962,456.29
10/01/1962,458.32
11/01/1962,504.87
12/01/1962,511.68
01/01/1963,536.82
02/01/1963,521.33
03/01/1963,538.09
04/01/1963,564.19
05/01/1963,572.28
06/01/1963,558.84
07/01/1963,555.11
08/01/1963,582.18
09/01/1963,575.75
10/01/1963,592.38
11/01/1963,586.13
12/01/1963,598.51
01/01/1964,614.63
02/01/1964,620.69
03/01/1964,630.1
04/01/1964,633.93
05/01/1964,641.19
06/01/1964,649.6
07/01/1964,659.37
08/01/1964,650.71
09/01/1964,667.29
10/01/1964,672.69
11/01/1964,667
12/01/1964,669.61
01/01/1965,691.81
02/01/1965,690.78
03/01/1965,678.6
04/01/1965,699.6
05/01/1965,694.19
